bend	bends	bent	bent	bending
benefice	benefices	beneficed	beneficed	beneficing
benefit	benefits	benefited	benefited	benefiting
benumb	benumbs	benumbed	benumbed	benumbing
bequeath	bequeaths	bequeathed	bequeathed	bequeathing
berate	berates	berated	berated	berating
bereave	bereaves	bereaved	bereaved	bereaving
bereave	bereaves	bereft	bereft	bereaving
berry	berries	berried	berried	berrying
berth	berths	berthed	berthed	berthing
beseech	beseeches	beseeched	beseeched	beseeching
beseem	beseems	beseemed	beseemed	beseeming
beset	besets	beset	beset	besetting
beshrew	beshrews	beshrewed	beshrewed	beshrewing
besiege	besieges	besieged	besieged	besieging
besmear	besmears	besmeared	besmeared	besmearing
